split,model,site,origin,target_month,horizon,actual_m3,forecast_m3,scale_m3,model_details,horizon_bucket,interval_q,lower_m3,upper_m3,covered,interval_width_m3
final,ets,4320 Crusellin peruskoulu,2017-12,2018-08,8,75.0,62.38551295237541,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,0.0,135.87165227939653,True,135.87165227939653
final,ets,4320 Crusellin peruskoulu,2017-12,2018-09,9,99.0,94.82379623801063,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,21.337656910989523,168.30993556503174,True,146.9722786540422
final,ets,4320 Crusellin peruskoulu,2017-12,2018-10,10,93.0,89.85222671070301,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,16.3660873836819,163.33836603772411,True,146.9722786540422
final,ets,4320 Crusellin peruskoulu,2017-12,2018-11,11,115.0,99.0932824349322,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,25.6071431079111,172.5794217619533,True,146.9722786540422
final,ets,4320 Crusellin peruskoulu,2017-12,2018-12,12,104.0,70.56146713284629,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,0.0,144.04760645986738,True,144.04760645986738
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-01,1,107.0,133.03239393187263,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h1,1.9560832420395615,89.71912214385378,176.34566571989149,True,86.6265435760377
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-02,2,105.0,120.9362063730185,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h2-3,2.952097419162971,55.56833494869558,186.30407779734145,True,130.73574284864588
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-03,3,145.0,180.96446777546402,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h2-3,2.952097419162971,115.59659635114109,246.33233919978693,True,130.73574284864583
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-04,4,139.0,134.61716072591156,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h4-6,2.733442812786802,74.0909270142038,195.14339443761932,True,121.05246742341552
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-05,5,145.0,133.52002552137327,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h4-6,2.733442812786802,72.99379180966551,194.04625923308103,True,121.05246742341552
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-06,6,30.0,28.423119200841217,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h4-6,2.733442812786802,0.0,88.94935291254897,True,88.94935291254897
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-07,7,7.0,21.076400908222897,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,0.0,86.44427233254582,True,86.44427233254582
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-08,8,113.0,101.72961095725168,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,36.36173953292875,167.0974823815746,True,130.73574284864583
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-09,9,174.0,156.13235545127293,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,90.76448402695,221.50022687559584,True,130.73574284864583
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-10,10,125.0,130.78480037785508,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,65.41692895353215,196.15267180217802,True,130.73574284864588
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-11,11,158.0,151.31178143554354,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,85.94391001122061,216.67965285986645,True,130.73574284864583
final,ets,4513 Aurinkolahden peruskoulu,2017-12,2018-12,12,105.0,112.08882196032201,22.142857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 30248.091569026117}",h7-12,2.952097419162971,46.72095053599908,177.45669338464495,True,130.73574284864588
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-01,1,115.0,79.67346707855096,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h1,1.9560832420395615,36.70949586946773,122.63743828763418,True,85.92794241816645
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-02,2,71.0,78.9709814507973,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h2-3,2.952097419162971,14.130270279896322,143.81169262169828,True,129.68142234180198
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-03,3,78.0,113.65691014366169,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h2-3,2.952097419162971,48.816198972760716,178.49762131456265,True,129.68142234180192
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-04,4,76.0,97.72095084515111,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h4-6,2.733442812786802,37.68283192144099,157.75906976886122,True,120.07623784742023
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-05,5,78.0,83.05346569999342,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h4-6,2.733442812786802,23.01534677628331,143.09158462370354,True,120.07623784742023
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-06,6,76.0,52.130859104379155,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h4-6,2.733442812786802,0.0,112.16897802808927,True,112.16897802808927
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-07,7,78.0,19.721311507287766,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,0.0,84.56202267818874,True,84.56202267818874
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-08,8,78.0,67.81723678722801,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,2.976525616327038,132.657947958129,True,129.68142234180198
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-09,9,76.0,94.29437426527058,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,29.453663094369603,159.13508543617155,True,129.68142234180195
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-10,10,78.0,100.2727927569003,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,35.43208158599933,165.11350392780128,True,129.68142234180195
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-11,11,76.0,88.63496201783809,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,23.794250846937118,153.47567318873905,True,129.68142234180192
final,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2017-12,2018-12,12,103.0,77.38403894425647,21.964285714285715,"{'specification': 'ETS(A,Ad,A)', 'sse': 51144.58516014058}",h7-12,2.952097419162971,12.5433277733555,142.22475011515746,True,129.68142234180198
final,ets,PORTFOLIO_TOTAL,2017-12,2018-01,1,1137.0,1065.841851734741,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h1,1.9560832420395615,839.122489300251,1292.5612141692313,True,453.43872486898033
final,ets,PORTFOLIO_TOTAL,2017-12,2018-02,2,1005.0,1008.4197526101594,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h2-3,2.952097419162971,666.2576041224131,1350.5819010979058,True,684.3242969754926
final,ets,PORTFOLIO_TOTAL,2017-12,2018-03,3,1270.0,1447.3182155661832,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h2-3,2.952097419162971,1105.156067078437,1789.4803640539294,True,684.3242969754924
final,ets,PORTFOLIO_TOTAL,2017-12,2018-04,4,1267.0,1278.9736531792946,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h4-6,2.733442812786802,962.1546147829577,1595.7926915756316,True,633.6380767926739
final,ets,PORTFOLIO_TOTAL,2017-12,2018-05,5,1267.0,1184.121827386493,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h4-6,2.733442812786802,867.3027889901559,1500.9408657828299,True,633.6380767926739
final,ets,PORTFOLIO_TOTAL,2017-12,2018-06,6,538.0,476.0077929974133,115.9047619047619,"{'specification': 'ETS(A,Ad,A)', 'sse': 1075498.3282831046}",h4-6,2.733442812786802,159.1887546010763,792.8268313937502,True,633.6380767926739
